Method,N100,N1000,N10000,N100000
Midpoint,-18.207,-18.2095,-18.2095,-18.2095
Time (in seconds),0.0018,0.0007,0.0018,0.0123
Trapezoid,-18.0402,-18.1921,-18.2078,-18.2094
Time (in seconds),0.0012,0.0007,0.0014,0.0114
Simpson,-17.8836,-18.176,-18.2062,-18.2092
Time (in seconds),0.0009,0.0007,0.0015,0.0114
Montecarlo Crude,-18.2349,-18.6906,-17.9991,-18.2703
Time (in seconds),0.001,0.0006,0.0022,0.0129
Montecarlo Importance,-17.7369,-18.1602,-18.2046,-18.209
Time (in seconds),0.0055,0.0042,0.1626,6.1616
