Goods,AgntI,AgntII,AgntIII,AgntIV,AgntV,AgntVI,AgntVII,AgntVIII,AgntXI,AgntX,Price
GI,4.44,6.29,7.7,8.91,9.95,10.91,11.79,12.59,13.35,14.07,1
GII,4.46,6.29,7.69,8.9,9.96,10.92,11.79,12.58,13.35,14.07,1
GIII,4.44,6.3,7.72,8.89,9.96,10.92,11.78,12.58,13.33,14.07,1
GIV,4.46,6.3,7.71,8.9,9.96,10.88,11.8,12.57,13.33,14.08,1
GV,4.45,6.3,7.71,8.91,9.94,10.88,11.79,12.6,13.35,14.07,1
GVI,4.45,6.29,7.7,8.9,9.94,10.91,11.77,12.6,13.35,14.1,1
GVII,4.45,6.3,7.71,8.88,9.93,10.93,11.77,12.58,13.35,14.08,1
GVIII,4.45,6.3,7.7,8.9,9.96,10.89,11.8,12.61,13.36,14.04,1
GIX,4.46,6.28,7.71,8.91,9.94,10.9,11.77,12.62,13.36,14.06,1
GX,4.44,6.3,7.73,8.9,9.95,10.9,11.78,12.59,13.34,14.07,1
